ID,dim,func_name,iid,active,elitist,orthogonal,sequential,threshold_convergence,step_size_adaptation,mirrored,base_sampler,weights_option,local_restart,bound_correction
0,10,DifferentPowers,1,False,False,True,True,False,psr,None,sobol,1/2^lambda,IPOP,None
1,10,Katsuura,4,True,False,True,True,True,csa,mirrored,gaussian,1/2^lambda,BIPOP,toroidal
2,10,Gallagher21,9,True,True,True,False,True,csa,mirrored,gaussian,1/2^lambda,BIPOP,mirror
3,10,EllipsoidRotated,7,True,True,True,True,True,m-xnes,mirrored,halton,default,None,toroidal
4,10,LinearSlope,1,False,False,False,False,True,tpa,None,sobol,equal,BIPOP,COTN
5,10,SharpRidge,5,True,True,True,False,True,m-xnes,mirrored pairwise,sobol,default,IPOP,unif_resample
6,10,RastriginRotated,5,True,True,False,True,False,lp-xnes,mirrored,gaussian,equal,IPOP,toroidal
7,10,GriewankRosenbrock,5,False,False,True,True,True,psr,None,sobol,1/2^lambda,None,toroidal
8,10,Schaffers10,7,False,True,True,True,True,psr,mirrored,gaussian,1/2^lambda,IPOP,toroidal
9,10,RosenbrockRotated,9,True,True,True,True,True,m-xnes,None,halton,equal,IPOP,toroidal
10,10,EllipsoidRotated,3,False,True,True,False,False,msr,mirrored pairwise,gaussian,1/2^lambda,BIPOP,toroidal
11,10,Gallagher21,0,False,False,False,True,True,m-xnes,mirrored pairwise,halton,default,BIPOP,toroidal
12,10,Schaffers1000,5,True,True,True,True,False,lp-xnes,mirrored pairwise,gaussian,default,IPOP,unif_resample
13,10,EllipsoidRotated,1,True,False,True,False,True,m-xnes,mirrored pairwise,halton,default,BIPOP,saturate
14,10,StepEllipsoid,1,True,False,False,False,False,csa,mirrored pairwise,sobol,1/2^lambda,None,COTN
15,10,Rosenbrock,9,False,True,True,True,True,msr,mirrored,sobol,default,BIPOP,unif_resample
16,10,LunacekBiRastrigin,7,True,True,True,True,False,csa,None,halton,default,None,saturate
17,10,Schwefel,9,True,False,False,False,False,m-xnes,mirrored,halton,default,IPOP,toroidal
18,10,RastriginRotated,7,True,False,False,False,True,msr,None,sobol,default,IPOP,unif_resample
19,10,GriewankRosenbrock,7,True,True,True,True,True,csa,None,gaussian,1/2^lambda,BIPOP,unif_resample
20,10,Katsuura,2,False,True,False,False,True,m-xnes,mirrored,gaussian,1/2^lambda,None,toroidal
21,10,GriewankRosenbrock,9,False,False,False,True,True,xnes,mirrored,halton,1/2^lambda,IPOP,None
22,10,Schaffers10,9,True,True,True,True,True,psr,mirrored,halton,equal,IPOP,unif_resample
23,10,GriewankRosenbrock,0,True,True,False,True,True,msr,mirrored,sobol,default,IPOP,unif_resample
24,10,Katsuura,2,False,False,True,False,False,m-xnes,mirrored,halton,default,IPOP,toroidal
25,10,GriewankRosenbrock,2,False,True,False,False,False,csa,mirrored,halton,1/2^lambda,IPOP,unif_resample
26,10,Katsuura,5,True,True,True,False,True,msr,None,halton,1/2^lambda,BIPOP,unif_resample
27,10,RastriginRotated,9,True,True,True,False,True,csa,None,halton,1/2^lambda,IPOP,COTN
