ID,dim,func_name,iid,active,elitist,orthogonal,sequential,threshold_convergence,step_size_adaptation,mirrored,base_sampler,weights_option,local_restart,bound_correction
0,25,Katsuura,0.0,True,True,False,False,False,tpa,None,gaussian,1/2^lambda,BIPOP,mirror
1,10,Discus,0.0,False,True,False,False,True,csa,mirrored pairwise,halton,default,BIPOP,None
2,10,BentCigar,0.0,True,True,False,True,True,m-xnes,mirrored,halton,1/2^lambda,None,saturate
3,25,Ellipsoid,0.0,False,False,True,True,False,m-xnes,mirrored,gaussian,equal,None,COTN
4,30,BentCigar,0.0,False,False,False,True,True,psr,mirrored pairwise,halton,equal,BIPOP,mirror
5,5,BentCigar,0.0,False,False,True,False,True,csa,None,halton,default,BIPOP,COTN
6,5,Ellipsoid,0.0,False,False,True,False,False,msr,mirrored,gaussian,1/2^lambda,IPOP,toroidal
7,30,Ellipsoid,0.0,True,True,True,False,True,csa,None,gaussian,equal,None,mirror
8,25,BentCigar,0.0,False,False,False,True,True,csa,mirrored pairwise,sobol,equal,None,saturate
9,5,Discus,0.0,True,True,False,True,True,m-xnes,None,gaussian,equal,BIPOP,saturate
10,25,Ellipsoid,0.0,False,False,False,True,True,psr,mirrored,sobol,default,None,unif_resample
11,25,Ellipsoid,0.0,True,False,False,True,True,m-xnes,mirrored,gaussian,equal,BIPOP,unif_resample
12,25,Ellipsoid,0.0,False,False,False,True,False,tpa,None,sobol,1/2^lambda,None,saturate
13,20,Schwefel,0.0,False,True,False,False,True,psr,mirrored pairwise,gaussian,equal,None,COTN
14,30,Discus,0.0,False,False,False,True,False,xnes,None,sobol,default,None,COTN
15,20,Rastrigin,0.0,True,True,True,False,True,psr,mirrored pairwise,sobol,default,None,COTN
16,20,BentCigar,0.0,False,False,False,False,True,lp-xnes,mirrored pairwise,gaussian,1/2^lambda,BIPOP,unif_resample
17,5,Schaffers,0.0,True,True,False,False,False,lp-xnes,mirrored pairwise,sobol,default,None,saturate
18,10,Ellipsoid,0.0,False,True,False,True,True,psr,None,gaussian,equal,IPOP,COTN
19,5,BentCigar,0.0,False,True,True,True,False,csa,None,sobol,equal,BIPOP,unif_resample
20,30,Discus,0.0,False,True,False,False,True,m-xnes,mirrored,halton,equal,BIPOP,unif_resample
21,30,BentCigar,0.0,True,False,True,False,False,xnes,mirrored pairwise,sobol,default,BIPOP,COTN
22,20,Rosenbrock,0.0,False,False,False,True,True,lp-xnes,mirrored,gaussian,default,BIPOP,COTN
23,25,Discus,0.0,False,True,False,False,True,psr,mirrored,sobol,1/2^lambda,IPOP,toroidal
24,30,Ellipsoid,0.0,True,False,False,True,False,psr,None,gaussian,equal,BIPOP,mirror
25,25,Discus,0.0,False,True,False,True,False,csa,mirrored,halton,equal,IPOP,saturate
26,20,Sphere,0.0,True,False,True,False,False,lp-xnes,None,halton,1/2^lambda,IPOP,toroidal
27,30,Weierstrass,0.0,True,True,False,True,True,lp-xnes,mirrored pairwise,gaussian,default,BIPOP,toroidal
28,20,Weierstrass,0.0,True,False,True,False,True,xnes,mirrored,halton,default,BIPOP,mirror
29,25,Sphere,0.0,False,False,True,True,False,m-xnes,mirrored pairwise,halton,default,IPOP,toroidal
