id,dataset,model_type,model_kwargs,optimizer,optimizer_params,seed,batch_size,train_validation_ratio,fraction_of_dataset
0,CIFAR10,from_file,small_cifar_model.json,AdamW,,0,1024,0.8,1
1,CIFAR10,from_file,small_cifar_model.json,SGD,,0,32,0.8,1
2,CIFAR10,from_file,small_cifar_model.json,Adam,,4294967295,32,0.8,1
3,CIFAR10,from_file,small_cifar_model.json,SGD,,0,1024,0.8,1
4,CIFAR10,from_file,small_cifar_model.json,SGD,,4294967295,32,0.8,1
5,CIFAR10,from_file,small_cifar_model.json,Adam,,4294967295,1024,0.8,1
6,CIFAR10,from_file,small_cifar_model.json,SGD,,0,1024,0.8,1
7,CIFAR10,from_file,small_cifar_model.json,Adam,,0,32,0.8,1
8,CIFAR10,from_file,small_cifar_model.json,SGD,,0,32,0.8,1
9,CIFAR10,from_file,small_cifar_model.json,RMSprop,,0,1024,0.8,1
