ID,function_identifier,function_a,function_b
0,sigmoid,-2.3278285082925376,-5.185788830735754
1,logarithmic,1.964397915397612,1.0908187478527132
2,quadratic,0.49094556689151864,-1.7382184642707654
3,sigmoid,2.117313498624986,-3.6703056286124576
4,quadratic,-0.8134538272654777,-2.9031649483554474
5,logarithmic,0.3530116335033271,-3.093119877294574
6,logarithmic,2.298026201139732,-3.7741312677693517
7,sigmoid,1.9466179087808875,-7.109782519452366
8,sigmoid,-1.6639330033057438,-6.163925036424471
9,polynomial,0.6423520698208036,2.4489895358799547
10,quadratic,1.9681897594211362,3.9268465672670607
11,logarithmic,-3.6428719974547703,-2.595179566036041
12,linear,1.5826731022735658,-3.330520007618779
13,logarithmic,-2.9587796008832514,0.8512057243610418
14,linear,-2.3730241196483792,-0.1905063240862817
15,linear,4.800949166276745,-5.6889258557357945
16,sigmoid,1.9258543665085899,1.3408856514199141
17,logarithmic,-0.13333209864425938,-1.4564391299200705
18,linear,0.8857991474356941,0.052040734386785796
19,linear,-1.7284329958015952,-2.314807054561556
20,logarithmic,-1.8975130076737279,7.255236493985401
21,logarithmic,0.3199386053794897,-0.5111141297255548
22,polynomial,-0.0184581271166703,-1.3278185109194083
23,logarithmic,-0.35151253423175516,2.2242890773992223
24,polynomial,0.44887045431828826,-0.05205992832983575
25,sigmoid,1.595339690022471,1.2489139945291292
26,linear,-0.6342780066599605,-4.690470701172715
27,sigmoid,0.581355721548357,-3.5176616341498232
28,quadratic,-1.6570304610808364,1.5624527403913677
29,polynomial,-1.1713518202561748,-1.1006713366302612
30,polynomial,-1.2667240785849438,-1.638791505542919
31,sigmoid,-0.6754171435856964,-2.6880852114037546
32,linear,-1.3675782970256367,-10.7335416971956
33,quadratic,1.1172158819613252,-3.320020408822662
34,polynomial,-0.10556869394642425,0.8749104231142627
35,quadratic,-0.6423515087227107,-7.81413425297735
36,polynomial,-1.9530144649950685,-5.083252960438809
37,polynomial,0.7974493252432572,-2.9712017541508016
38,quadratic,1.6910798715210036,3.1971733763190344
39,sigmoid,-0.6217258318425226,-1.8482087717488922
40,polynomial,-0.8483812742988859,5.629137204079819
41,logarithmic,-1.9818020677025723,-0.10638801369448336
42,linear,1.2627717451474847,1.0589452739653313
43,logarithmic,3.588810590410681,0.6893665373930324
44,quadratic,-0.31076663992008313,-0.9985808728814202
45,sigmoid,-1.8651284266995232,6.610221318529186
46,logarithmic,1.2904691257905783,-1.2114157708763387
47,quadratic,1.8371488198093702,2.665751474685959
48,linear,1.2778229451524254,4.3944509528748865
49,linear,3.2953879792233867,-4.34666232870699
50,quadratic,1.4910244845389884,0.4353619675886078
51,quadratic,2.218691953129797,-4.139784386817251
52,quadratic,-1.2830656684246091,-5.0392602570869425
53,quadratic,1.6145789874161325,-0.29336689193003807
54,linear,0.8586586548668613,2.3141895751265773
55,linear,4.951628379940204,4.290841697108133
56,quadratic,0.7926173713191551,1.4842605142722587
57,linear,4.194104751307575,-0.7355238893767718
58,polynomial,-3.8616156085568347,-0.5239554101940974
59,linear,0.4672639801881085,4.27895685235966
60,polynomial,-2.0321101640148473,-1.569449417991224
61,polynomial,0.6896707970792728,-8.643920454510493
62,quadratic,-3.188042071173033,2.854165229022318
63,linear,0.9500330378713028,1.9512155923766048
64,linear,-2.350207481295604,3.44854923360258
65,polynomial,-1.1544381598962703,0.020383746250662547
66,quadratic,2.6778693018898996,5.431879869336924
67,linear,-2.476218744209419,7.478837288704526
68,logarithmic,0.7199300066393587,-9.050727945937235
69,quadratic,1.672073101412201,-8.806901926104887
70,sigmoid,0.07801031912223709,-9.68786760375985
71,linear,2.91924331745976,-3.028193190777867
72,logarithmic,4.332275242080707,-2.5595171756401847
73,linear,0.5288050935518945,1.228638801480645
74,logarithmic,-1.6418832080780243,8.502539027795267
75,sigmoid,-0.9200316040188916,7.041861317995032
76,sigmoid,-2.647201800149465,0.14688660338285617
77,linear,-1.9525704528930847,-4.590765910217479
78,linear,-1.059089138184138,-2.0900361851254465
79,logarithmic,-2.083577441307474,-6.257142422208756
80,sigmoid,3.813709697246006,-5.039806170058419
81,linear,-0.34714321829614053,-2.4068609620677055
82,quadratic,0.5525040522838809,-0.3473745986612248
83,linear,2.822036835765248,-3.9318401536529923
84,sigmoid,-0.19695197768720568,1.5358173642378097
85,linear,-0.798909988273681,0.8676793560593375
86,polynomial,2.9901740483496777,2.9877822560670078
87,linear,-0.7632275598403464,0.21837664190351666
88,logarithmic,3.159566891243141,-1.179861685026347
89,logarithmic,-0.3886279230181864,7.017259254172858
90,linear,1.128772110027427,1.483730628767874
91,sigmoid,-2.4027729219867036,2.7194433362382817
92,sigmoid,-1.059254498612531,-0.3022340695788799
93,logarithmic,-1.5492901543797528,2.3808100398870855
94,logarithmic,-3.862917388274051,-0.05317438686875849
95,logarithmic,0.22688275508253092,-3.8155956308795673
96,sigmoid,-1.8647274491645953,2.970757750269172
97,linear,-1.0214184876024337,-6.462825291570743
98,linear,0.33110686537047485,-0.9470662344460472
99,polynomial,8.028852925923168,-1.0741174913469187
